index,Colour,x,y,Y,eta,Voc,Jsc,FF,Eg
0,dark skin,0.4336,0.3787,0.1029,32.74,1.0794,34.12,88.94,1.337
1,light skin,0.4187,0.3749,0.354,30.6,0.8899,39.46,87.18,1.135
2,blue sky,0.2757,0.2996,0.1849,31.81,0.8909,40.97,87.19,1.135
3,foliage,0.3688,0.4501,0.1329,32.63,0.892,41.96,87.2,1.136
4,blue flower,0.3016,0.2871,0.2328,31.28,0.8904,40.3,87.19,1.135
5,bluish green,0.2856,0.3905,0.4175,30.2,0.8891,38.98,87.17,1.135
6,orange,0.5291,0.4081,0.3106,30.95,0.8902,39.89,87.18,1.135
7,purplish blue,0.2335,0.2157,0.1136,32.18,0.8912,41.42,87.2,1.135
8,moderate red,0.5002,0.3295,0.1989,31.6,0.8907,40.71,87.19,1.135
9,purple,0.3316,0.2544,0.0639,32.92,1.0796,34.3,88.94,1.337
10,vellow green,0.3986,0.5002,0.444,30.54,0.889,39.38,87.18,1.135
11,orange yellow,0.496,0.4426,0.436,30.15,0.8844,39.14,87.12,1.13
12,blue,0.2042,0.1676,0.057,32.71,1.0794,34.08,88.94,1.337
13,green,0.3262,0.504,0.2297,32.03,0.891,41.25,87.19,1.135
14,red,0.5734,0.3284,0.1262,32.2,0.8912,41.45,87.2,1.135
15,yellow,0.4693,0.473,0.6072,28.91,0.8834,37.58,87.11,1.13
16,magenta,0.4175,0.2702,0.1998,31.36,0.8905,40.41,87.19,1.135
17,cyan,0.2146,0.3028,0.1889,31.73,0.8908,40.87,87.19,1.135
18,white 9.5,0.3486,0.3625,0.9094,24.09,0.8668,31.98,86.92,1.117
19,neutral 8,0.3451,0.3593,0.585,28.44,0.8816,37.06,87.09,1.128
20,neutral 6.5,0.3447,0.3588,0.3571,30.55,0.8809,39.4,87.18,1.135
21,neultral 5,0.3433,0.3586,0.1912,31.98,0.891,41.18,87.19,1.135
22,neutral 3 5,0.3425,0.3577,0.0887,32.87,1.0795,34.24,88.94,1.337
23,black 2,0.3436,0.2562,0.0217,33.45,1.09,34.83,88.94,1.337
